Title,Year,Rating,Cast,Genre
His House,2020,100%,"Wunmi Mosaku, Sope Dirisu, Matt Smith, Cornell John",Horror
Ready or Not,2019,88%,"Samara Weaving, Adam Brody, Mark O'Brien, Henry Czerny",Horror
Tigers Are Not Afraid,2017,97%,"Paola Lara, Ianis Guerrero, Rodrigo Cortés, Hanssel Casillas",Horror
Mandy,2018,90%,"Nicolas Cage, Andrea Riseborough, Linus Roache, Ned Dennehy",Horror
It,2017,86%,"Jaeden Lieberher, Jeremy Ray Taylor, Sophia Lillis, Finn Wolfhard",Horror
Don't Look Now,1973,94%,"Julie Christie, Donald Sutherland, Hilary Mason, Clelia Matania",Horror
Cat People,1942,91%,"Simone Simon, Kent Smith, Tom Conway, Jane Randolph",Horror
The Birds,1963,95%,"Rod Taylor, Tippi Hedren, Suzanne Pleshette, Jessica Tandy",Horror
The Wailing,2016,99%,"Kwak Do-won, Kunimura Jun, Hwang Jung-min, Chun Woo-hee",Horror
Dead of Night,1945,93%,"Mervyn Johns, Michael Redgrave, Roland Culver, Mary Merrall",Horror
Under the Shadow,2016,99%,"Narges Rashidi, Avin Manshadi, Bobby Naderi, Ray Haratian",Horror
Host,2020,100%,"Haley Bishop, Jemma Moore, Emma Louise Webb, Radina Drandova",Horror
10 Cloverfield Lane,2016,90%,"John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M. Griffin",Horror
Peeping Tom,1960,96%,"Carl Boehm, Moira Shearer, Anna Massey, Maxine Audley",Horror
The Witch,2015,90%,"Anya Taylor-Joy, Ralph Ineson, Kate Dickie, Harvey Scrimshaw",Horror
The Cabin in the Woods,2011,92%,"Kristen Connolly, Chris Hemsworth, Anna Hutchison, Fran Kranz",Horror
Repulsion,1965,95%,"Catherine Deneuve, Yvonne Furneaux, Ian Hendry, John Fraser",Horror
Eyes Without a Face,1959,98%,"Pierre Brasseur, Alida Valli, Édith Scob, Juliette Mayniel",Horror
Rosemary's Baby,1968,96%,"Mia Farrow, John Cassavetes, Ruth Gordon, Sidney Blackmer",Horror
Halloween,1978,96%,"Donald Pleasence, Jamie Lee Curtis, Nancy Loomis, P.J. Soles",Horror
The Silence of the Lambs,1991,95%,"Jodie Foster, Anthony Hopkins, Scott Glenn, Ted Levine",Horror
The Invisible Man,1933,94%,"Claude Rains, Gloria Stuart, Henry Travers, William Harrigan",Horror
Aliens,1986,97%,"Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser",Horror
Night of the Living Dead,1968,96%,"Duane Jones, Judith O'Dea, Karl Hardman, Keith Wayne",Horror
Freaks,1932,95%,"Wallace Ford, Olga Baclanova, Leila Hyams, Roscoe Ates",Horror
It Follows,2014,96%,"Maika Monroe, Keir Gilchrist, Daniel Zovatto, Jake Weary",Horror
Let the Right One In,2008,98%,"Kåre Hedebrant, Lina Leandersson, Per Ragnar, Henrik Dahl",Horror
Hereditary,2018,89%,"Toni Collette, Gabriel Byrne, Alex Wolff, Ann Dowd",Horror
Vampyr,1932,98%,"Julian West, Henriette Gérard, Jan Hieronimko, Maurice Schutz",Horror
Invasion of the Body Snatchers,1956,98%,"Kevin McCarthy, Dana Wynter, Carolyn Jones, Larry Gates",Horror
The Lighthouse,2019,90%,"Robert Pattinson, Willem Dafoe, Valeriia Karaman, Logan Hawkes",Horror
Frankenstein,1931,100%,"Boris Karloff, Colin Clive, Mae Clarke, John Boles",Horror
The Babadook,2014,98%,"Essie Davis, Daniel Henshall, Noah Wiseman, Hayley McElhinney",Horror
Jaws,1975,98%,"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary",Horror
Bride of Frankenstein,1935,98%,"Boris Karloff, Elsa Lanchester, Colin Clive, Valerie Hobson",Horror
A Quiet Place,2018,96%,"Emily Blunt, John Krasinski, Millicent Simmonds, Noah Jupe",Horror
The Invisible Man,2020,92%,"Elisabeth Moss, Oliver Jackson-Cohen, Aldis Hodge, Storm Reid",Horror
The Night of the Hunter,1955,94%,"Robert Mitchum, Shelley Winters, Lillian Gish, Evelyn Varden",Horror
Nosferatu,1922,97%,"Max Schreck, Alexander Granach, Gustav von Wangenheim, Greta Schroeder",Horror
King Kong,1933,99%,"Fay Wray, Bruce Cabot, Robert Armstrong, Frank Reicher",Horror
Alien,1979,98%,"Tom Skerritt, Sigourney Weaver, John Hurt, Veronica Cartwright",Horror
Us,2019,93%,"Lupita Nyong'o, Winston Duke, Elisabeth Moss, Tim Heidecker",Horror
The Cabinet of Dr. Caligari,1919,99%,"Werner Krauss, Conrad Veidt, Lil Dagover, Friedrich Feher",Horror
Get Out,2017,98%,"Daniel Kaluuya, Allison Williams, Catherine Keener, Bradley Whitford",Horror
Psycho,1960,96%,"Anthony Perkins, Janet Leigh, Vera Miles, John Gavin",Horror
